nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0001288,Kelsey Grammer,1955,-1,"producer,actor,music_department","tt0083399,tt0106004,tt2109248,tt2333784"
nm0001298,Richard Grieco,1965,-1,"actor,producer,director","tt0102095,tt8804580,tt4702194,tt2294449"
nm0001315,Marcia Gay Harden,1959,-1,"actress,producer,archive_footage","tt0327056,tt0884328,tt0183659,tt0758758"
nm0001334,John Heard,1946,2017,"actor,producer,soundtrack","tt0083722,tt0094737,tt0406816,tt0099077"
nm0001337,Katherine Heigl,1978,-1,"actress,producer,soundtrack","tt1598828,tt0478311,tt1142988,tt0413573"
nm0001348,Werner Herzog,1942,-1,"director,writer,producer","tt0083946,tt0068182,tt0790724,tt0427312"
nm0001352,Terence Hill,1939,-1,"actor,director,miscellaneous","tt0067355,tt0069697,tt0070215,tt0057091"
nm0001354,Ciarán Hinds,1953,-1,"actor,soundtrack,archive_footage","tt12789558,tt1596365,tt1340800,tt2294629"
nm0001368,Ernie Hudson,1945,-1,"actor,producer,writer","tt0087332,tt7146326,tt0097428,tt0109506"
nm0001379,John Huston,1906,1987,"actor,director,writer","tt0040897,tt0071315,tt0042208,tt0089841"
nm0001391,Michael Jackson,1958,2009,"music_artist,actor,composer","tt0095655,tt1477715,tt0078504,tt0120912"
nm0001393,Irène Jacob,1966,-1,"actress,executive,archive_footage","tt0101765,tt0111495,tt0092593,tt0120873"
nm0001394,Derek Jacobi,1938,-1,"actor,producer,soundtrack","tt0280707,tt0172495,tt0101669,tt1521197"
nm0001458,Cloris Leachman,1926,2021,"actress,soundtrack,archive_footage","tt0067328,tt0072431,tt0371246,tt0481499"
nm0001467,Jared Leto,1971,-1,"actor,producer,director","tt0790636,tt0485947,tt1386697,tt5108870"
nm0001475,John Lithgow,1945,-1,"actor,producer,writer","tt0084917,tt0106582,tt0086856,tt0086425"
nm0001490,Adrian Lyne,1941,-1,"director,writer,producer","tt0099871,tt0085549,tt0107211,tt0093010"
nm0001498,John Mahoney,1940,2018,"actor,producer,soundtrack","tt0106004,tt0093565,tt0817177,tt0101410"
nm0001521,Mary McDonnell,1952,-1,"actress,soundtrack,archive_footage","tt0407362,tt1615147,tt0246578,tt0099348"
nm0001524,Paul McGann,1959,-1,"actor,director,soundtrack","tt0108333,tt0103644,tt0094336,tt0238546"
nm0001543,Gretchen Mol,1972,-1,"actress,miscellaneous,soundtrack","tt0139809,tt0381849,tt0979432,tt4034228"
nm0001567,Connie Nielsen,1965,-1,"actress,producer,writer","tt0172495,tt0265459,tt0451279,tt0264395"
nm0001570,Edward Norton,1969,-1,"actor,producer,writer","tt0137523,tt0120586,tt0117381,tt2562232"
nm0001595,Michael Paré,1958,-1,"actor,producer,director","tt0088194,tt0159097,tt1838544,tt0119313"
nm0001598,Robert Patrick,1958,-1,"actor,producer,archive_footage","tt0103064,tt0106912,tt0133751,tt0419946"
nm0001599,Will Patton,1954,-1,"actor,soundtrack,archive_footage","tt0119925,tt0093640,tt0265349,tt0120591"
nm0001602,Guy Pearce,1967,-1,"actor,producer,soundtrack","tt0209144,tt0119488,tt2345737,tt0887912"
nm0001610,Elizabeth Perkins,1960,-1,"actress,producer,archive_footage","tt2649356,tt12614214,tt0439100,tt5555260"
nm0001614,Lori Petty,1963,-1,"actress,writer,producer","tt0114614,tt0104694,tt0106965,tt0102685"
nm0001626,Christopher Plummer,1929,2021,"actor,producer,music_department","tt1532503,tt0140352,tt3704050,tt5294550"
nm0001643,Linnea Quigley,1958,-1,"actress,producer,camera_department","tt0089907,tt0093624,tt0088117,tt0082467"
nm0001663,Paul Reiser,1956,-1,"actor,writer,producer","tt0103484,tt0090605,tt2582802,tt0086960"
nm0001674,Chris Rock,1965,-1,"producer,actor,writer","tt2784678,tt0398165,tt0325537,tt0351283"
nm0001675,Robert Rodriguez,1968,-1,"producer,writer,director","tt0104815,tt0458481,tt0287717,tt0424774"
nm0001686,Cynthia Rothrock,1957,-1,"actress,producer,miscellaneous","tt3393762,tt8840400,tt9626986,tt0099260"
nm0001693,Eva Marie Saint,1924,-1,"actress,producer,soundtrack","tt0047296,tt0053125,tt0348150,tt0053804"
nm0001715,George C. Scott,1927,1999,"actor,director,producer","tt0066206,tt0054997,tt0080516,tt0099528"
nm0001728,Wallace Shawn,1943,-1,"actor,writer,producer","tt0082783,tt0093779,tt0112697,tt0120434"
nm0001730,Deborah Shelton,1948,-1,"actress,music_department,writer","tt0086984,tt0108143,tt0111191,tt0107668"
nm0001735,Talia Shire,1946,-1,"actress,producer,director","tt0075148,tt0068646,tt0071562,tt0089927"
nm0001736,Pauly Shore,1968,-1,"actor,writer,producer","tt0115683,tt0104187,tt0284674,tt0108186"
nm0001743,Marc Singer,1948,-1,"actor,director,miscellaneous","tt0083630,tt0085106,tt0086822,tt0101412"
nm0001779,Tom Stoppard,1937,-1,"writer,script_department,producer","tt0138097,tt0088846,tt0100519,tt1781769"
nm0001782,Susan Strasberg,1938,1999,"actress,archive_footage","tt0048491,tt0052961,tt0055505,tt0052235"
nm0001804,Stanley Tucci,1960,-1,"actor,producer,writer","tt0115678,tt1895587,tt0380510,tt0458339"
nm0001832,Sam Waterston,1940,-1,"actor,producer,director","tt0087553,tt0071577,tt0098844,tt0111127"
nm0001857,Henry Winkler,1945,-1,"actor,producer,writer","tt0120484,tt0084412,tt1648179,tt0389860"
nm0001918,Louis Armstrong,1901,1971,"music_artist,actor,music_department","tt0049314,tt0039655,tt2382320,tt0087995"
nm0001953,Moritz Bleibtreu,1971,-1,"actor,producer,director","tt0250258,tt0119472,tt0177858,tt0130827"
nm0001969,Ray Bradbury,1920,2012,"writer,producer,actor","tt0088591,tt0060390,tt0086336,tt0049513"
nm0001971,Ewen Bremner,1972,-1,"actor,producer,composer","tt2763304,tt0117951,tt0451279,tt0370263"
nm0001980,Carter Burwell,1954,-1,"composer,music_department,actor","tt5027774,tt2402927,tt11813216,tt0116282"
nm0002007,Tom Clancy,1947,2013,"writer,producer,actor","tt0099810,tt0164184,tt0109444,tt0105112"
nm0002064,Giancarlo Esposito,1958,-1,"music_department,actor,producer","tt0903747,tt0114814,tt3040964,tt2241351"
nm0002075,Peter Finch,1916,1977,"actor,director,writer","tt0074958,tt0067805,tt0076594,tt0054403"
nm0002097,Bob Geldof,1951,-1,"actor,composer,writer","tt0084503,tt0120185,tt0120783,tt0437863"
nm0002103,Julian Glover,1935,-1,"actor,soundtrack,archive_footage","tt0097576,tt0080684,tt0082398,tt0332452"
nm0002115,Wayne Gretzky,1961,-1,"actor,producer,stunts","tt0109520,tt1754438,tt0096697,tt0069658"
nm0002136,Bernard Herrmann,1911,1975,"music_department,composer,actor","tt0052357,tt0053125,tt0075314,tt0054215"
nm0002139,Judd Hirsch,1935,-1,"actor,miscellaneous,producer","tt0077089,tt14208870,tt0116629,tt0268978"
nm0002186,Luciana Arrighi,1940,-1,"production_designer,costume_designer,actress","tt0104454,tt0107943,tt0114388,tt0166485"
nm0002201,John Debney,1956,-1,"composer,music_department,soundtrack","tt3040964,tt1485796,tt0335345,tt1228705"
nm0002274,Nina Gold,-1,-1,"casting_director,casting_department,producer","tt20215234,tt2527338,tt1478964,tt0944947"
nm0002350,Jim Meskimen,1959,-1,"actor,animation_department,miscellaneous","tt0170016,tt0112384,tt0098800,tt1266020"
nm0002353,Thomas Newman,1955,-1,"music_department,composer,soundtrack","tt1074638,tt0910970,tt8579674,tt1454029"
nm0002366,Christopher Young,-1,-1,"composer,music_department,actor","tt1922777,tt0244244,tt0137494,tt0391198"
nm0002396,Scott Shaw,1958,-1,"producer,director,editor","tt0102804,tt0105310,tt0286668,tt0342750"
nm0002436,Shannon Elizabeth,1973,-1,"actress,producer,director","tt0163651,tt0175142,tt6521876,tt0314331"
nm0002484,David Glanzer,-1,-1,"casting_director,casting_department,actor","tt0372283,tt1047445,tt1470846,tt0099587"
nm0002625,Alison E. McBryde,1971,-1,"casting_department,casting_director,producer","tt0120591,tt0399201,tt0120828,tt0113277"
nm0002645,Paolo Genovese,1966,-1,"writer,director","tt4901306,tt1630637,tt7063210,tt34621892"
nm0002663,Diane Ladd,1935,2025,"actress,producer,director","tt0100935,tt0071115,tt2446980,tt0071315"
nm0002708,Todd Busch,-1,-1,"editorial_department,visual_effects,editor","tt6791350,tt2250912,tt0437086,tt0121765"
nm0002907,Alexander Skarsgård,1976,-1,"actor,producer,director","tt0918940,tt3920596,tt0844441,tt7598448"
